기간,자치구,발생합계,발생 실화,발생 방화,발생 기타,소실 동수(동),소실 이재가구수(가구),소실 면적(㎡),부동산 피해액,동산 피해액,재산피해경감액,사망자,부상자,이재민수,구조인원
2017,종로구,234 ,197 ,6 ,31 ,13 ,9 ,832 ,193128 ,884537 ,7859982 ,1 ,3 ,20 ,16 
2017,중구,198 ,177 ,3 ,18 ,34 ,13 ,1077 ,199688 ,285704 ,6129751 ,5 ,14 ,14 ,17 
2017,용산구,167 ,145 ,-,22 ,6 ,7 ,620 ,112190 ,150720 ,14355773 ,-,6 ,22 ,8 
2017,성동구,197 ,173 ,4 ,20 ,36 ,-,940 ,228269 ,393055 ,16032935 ,1 ,11 ,-,10 
2017,광진구,200 ,188 ,3 ,9 ,22 ,-,657 ,230322 ,203420 ,18534827 ,1 ,6 ,-,29 
2017,동대문구,200 ,170 ,5 ,25 ,11 ,-,1567 ,475285 ,647169 ,36773885 ,1 ,2 ,-,53 
2017,중랑구,196 ,167 ,2 ,27 ,18 ,1 ,849 ,171049 ,161317 ,8533459 ,2 ,5 ,4 ,15 
2017,성북구,183 ,154 ,5 ,24 ,34 ,-,721 ,182471 ,218169 ,11676782 ,1 ,8 ,-,9 
2017,강북구,186 ,173 ,4 ,9 ,75 ,-,652 ,134341 ,204805 ,11134148 ,-,6 ,-,8 
2017,도봉구,192 ,176 ,8 ,8 ,12 ,2 ,2267 ,76077 ,212759 ,8438906 ,2 ,6 ,3 ,5 
2017,노원구,279 ,251 ,6 ,22 ,29 ,8 ,45623 ,284890 ,281931 ,20549503 ,3 ,18 ,22 ,36 
2017,은평구,159 ,125 ,2 ,32 ,15 ,2 ,416 ,100299 ,117901 ,1686664 ,-,3 ,3 ,16 
2017,서대문구,232 ,215 ,6 ,11 ,13 ,4 ,736 ,181371 ,216202 ,9809621 ,1 ,15 ,10 ,12 
2017,마포구,235 ,210 ,3 ,22 ,23 ,2 ,5318 ,1051681 ,307348 ,36240389 ,1 ,7 ,3 ,16 
2017,양천구,244 ,227 ,7 ,10 ,15 ,-,890 ,110271 ,190360 ,13705813 ,-,7 ,-,71 
2017,강서구,364 ,330 ,5 ,29 ,14 ,4 ,2628 ,342521 ,364350 ,46790410 ,3 ,22 ,9 ,11 
2017,구로구,260 ,238 ,3 ,19 ,28 ,-,1515 ,112488 ,348080 ,16904367 ,1 ,5 ,-,44 
2017,금천구,174 ,162 ,4 ,8 ,25 ,3 ,585 ,163006 ,442543 ,21160624 ,2 ,7 ,6 ,30 
2017,영등포구,239 ,218 ,4 ,17 ,46 ,1 ,1697 ,300321 ,793273 ,18826917 ,1 ,16 ,2 ,89 
2017,동작구,222 ,206 ,6 ,10 ,26 ,1 ,499 ,128070 ,149074 ,88183705 ,3 ,10 ,1 ,25 
2017,관악구,286 ,239 ,15 ,32 ,48 ,7 ,6818 ,320771 ,333919 ,21781978 ,3 ,20 ,15 ,61 
2017,서초구,242 ,220 ,2 ,20 ,3 ,-,4190 ,284206 ,411461 ,213125779 ,2 ,13 ,-,4 
2017,강남구,502 ,469 ,6 ,27 ,67 ,1 ,2210 ,771016 ,794242 ,90639696 ,-,11 ,1 ,20 
2017,송파구,318 ,280 ,7 ,31 ,36 ,5 ,1079 ,250145 ,389082 ,9309331 ,3 ,13 ,10 ,149 
2017,강동구,269 ,236 ,7 ,26 ,19 ,1 ,1202 ,188487 ,230106 ,32242476 ,-,12 ,3 ,40 
2018,종로구,254 ,219 ,7 ,28 ,20 ,43 ,909 ,279955 ,294345 ,12190920 ,14 ,22 ,44 ,60 
2018,중구,275 ,244 ,7 ,24 ,63 ,8 ,1425 ,558830 ,698175 ,45635102 ,-,23 ,19 ,44 
2018,용산구,211 ,165 ,5 ,41 ,21 ,1 ,405 ,123288 ,271615 ,25313037 ,1 ,6 ,1 ,15 
2018,성동구,212 ,186 ,1 ,25 ,40 ,2 ,580 ,162939 ,453146 ,5379167 ,-,12 ,3 ,18 
2018,광진구,203 ,175 ,2 ,26 ,30 ,-,1064 ,315690 ,342495 ,12607354 ,-,7 ,-,53 
2018,동대문구,203 ,175 ,4 ,24 ,93 ,-,1275 ,179873 ,529614 ,9457804 ,1 ,3 ,-,61 
2018,중랑구,254 ,235 ,4 ,15 ,25 ,-,893 ,103281 ,98140 ,11622135 ,2 ,8 ,-,67 
2018,성북구,215 ,183 ,5 ,27 ,40 ,6 ,898 ,184258 ,303307 ,15690182 ,-,10 ,20 ,22 
2018,강북구,203 ,180 ,4 ,19 ,29 ,1 ,211 ,104658 ,112180 ,9596171 ,4 ,2 ,3 ,11 
2018,도봉구,237 ,217 ,3 ,17 ,18 ,8 ,346 ,85113 ,116385 ,9832652 ,-,8 ,24 ,11 
2018,노원구,229 ,200 ,11 ,18 ,15 ,5 ,1299 ,105994 ,225006 ,6840069 ,2 ,10 ,12 ,37 
2018,은평구,214 ,184 ,4 ,26 ,12 ,2 ,872 ,217662 ,201841 ,6622784 ,5 ,10 ,5 ,17 
2018,서대문구,229 ,210 ,11 ,8 ,22 ,2 ,639 ,236471 ,7641030 ,170875389 ,4 ,9 ,61 ,25 
2018,마포구,254 ,237 ,2 ,15 ,56 ,-,725 ,132459 ,150525 ,12091647 ,2 ,4 ,-,23 
2018,양천구,219 ,204 ,4 ,11 ,15 ,1 ,388 ,136819 ,220750 ,24451853 ,1 ,11 ,2 ,33 
2018,강서구,383 ,347 ,12 ,24 ,13 ,16 ,1062 ,196115 ,197286 ,20303007 ,2 ,18 ,25 ,13 
2018,구로구,263 ,238 ,11 ,14 ,17 ,-,358 ,74308 ,165019 ,14988322 ,2 ,3 ,-,31 
2018,금천구,168 ,158 ,3 ,7 ,7 ,1 ,476 ,55351 ,148455 ,19353917 ,-,8 ,2 ,37 
2018,영등포구,258 ,217 ,11 ,30 ,42 ,25 ,1124 ,228065 ,476128 ,27191823 ,4 ,23 ,34 ,41 
2018,동작구,205 ,186 ,7 ,12 ,21 ,17 ,359 ,103520 ,209405 ,7302184 ,4 ,9 ,19 ,15 
2018,관악구,337 ,295 ,15 ,27 ,109 ,11 ,1772 ,395475 ,421087 ,9952527 ,1 ,20 ,21 ,53 
2018,서초구,242 ,210 ,6 ,26 ,48 ,3 ,2223 ,201149 ,646918 ,18257199 ,-,15 ,3 ,63 
2018,강남구,436 ,399 ,7 ,30 ,134 ,1 ,1631 ,670429 ,954554 ,87651462 ,-,23 ,1 ,36 
2018,송파구,340 ,301 ,7 ,32 ,84 ,16 ,2717 ,390994 ,579257 ,16546317 ,-,28 ,42 ,99 
2018,강동구,324 ,297 ,14 ,13 ,59 ,8 ,3358 ,236181 ,304444 ,7235347 ,4 ,15 ,19 ,26 
2019,종로구,232 ,201 ,7 ,24 ,3 ,2 ,1001 ,403054 ,398040 ,22189709 ,4 ,16 ,17 ,23 
2019,중구,213 ,186 ,8 ,19 ,49 ,5 ,4640 ,5135961 ,68941136 ,23570206 ,3 ,17 ,11 ,29 
2019,용산구,238 ,215 ,2 ,21 ,7 ,-,285 ,100283 ,167582 ,7476819 ,-,5 ,-,3 
2019,성동구,194 ,165 ,5 ,24 ,25 ,3 ,433 ,119319 ,604898 ,5619480 ,2 ,7 ,9 ,11 
2019,광진구,195 ,166 ,5 ,24 ,37 ,2 ,429 ,145574 ,247269 ,10761890 ,-,8 ,1 ,16 
2019,동대문구,195 ,164 ,4 ,27 ,51 ,6 ,940 ,233398 ,636944 ,8912159 ,5 ,21 ,14 ,67 
2019,중랑구,210 ,188 ,9 ,13 ,21 ,12 ,266 ,95365 ,227285 ,12468349 ,1 ,9 ,24 ,34 
2019,성북구,191 ,166 ,7 ,18 ,17 ,4 ,801 ,241464 ,222877 ,8084879 ,-,10 ,12 ,42 
2019,강북구,167 ,149 ,3 ,15 ,28 ,-,693 ,76389 ,141416 ,5702894 ,1 ,9 ,-,17 
2019,도봉구,179 ,152 ,4 ,23 ,5 ,11 ,2063 ,424291 ,344157 ,29808998 ,3 ,8 ,17 ,18 
2019,노원구,203 ,184 ,4 ,15 ,5 ,-,1204 ,44268 ,141374 ,10184406 ,-,6 ,-,29 
2019,은평구,196 ,165 ,6 ,25 ,41 ,20 ,7160 ,1901761 ,511008 ,5786465 ,3 ,20 ,31 ,23 
2019,서대문구,269 ,246 ,6 ,17 ,19 ,7 ,356 ,109764 ,111196 ,21921689 ,1 ,12 ,14 ,91 
2019,마포구,246 ,214 ,3 ,29 ,55 ,2 ,1123 ,163683 ,229742 ,7408458 ,-,13 ,5 ,26 
2019,양천구,163 ,152 ,3 ,8 ,18 ,-,388 ,107052 ,358668 ,3770249 ,2 ,7 ,-,8 
2019,강서구,331 ,302 ,6 ,23 ,24 ,10 ,1642 ,251606 ,414691 ,15724668 ,-,24 ,25 ,17 
2019,구로구,247 ,231 ,6 ,10 ,2 ,-,925 ,157597 ,254232 ,31259890 ,-,7 ,-,13 
2019,금천구,141 ,129 ,5 ,7 ,3 ,4 ,651 ,178251 ,493516 ,25619727 ,-,4 ,12 ,64 
2019,영등포구,265 ,222 ,13 ,30 ,7 ,11 ,1099 ,344748 ,2755206 ,9877817 ,1 ,48 ,13 ,130 
2019,동작구,208 ,199 ,6 ,3 ,40 ,2 ,276 ,86519 ,92724 ,2837691 ,2 ,10 ,2 ,8 
2019,관악구,311 ,265 ,10 ,36 ,107 ,32 ,882 ,312837 ,341749 ,5184457 ,3 ,6 ,72 ,40 
2019,서초구,242 ,211 ,1 ,30 ,10 ,-,1230 ,300794 ,669453 ,18010189 ,2 ,42 ,-,48 
2019,강남구,456 ,433 ,4 ,19 ,89 ,35 ,1789 ,900260 ,777421 ,74383477 ,1 ,23 ,36 ,32 
2019,송파구,335 ,313 ,4 ,18 ,84 ,2 ,947 ,330243 ,628586 ,13913616 ,2 ,19 ,2 ,64 
2019,강동구,254 ,233 ,5 ,16 ,26 ,1 ,999 ,166909 ,366450 ,3698442 ,1 ,10 ,1 ,68 
